preds,statements,ids,tokens,extra
"Shagun Sharma was seen in the TV shows ""Laal Ishq"", ""Vikram Betaal Ki Rahasya Gatha"", and ""Shaadi Ke Siyape"" in 2019.",What TV shows was Shagun Sharma seen in 2019?,2206.0,4776, In which year was Shagun Sharma seen in the TV show?;In which TV shows was Shagun Sharma seen in 2019?;What TV shows was Shagun Sharma seen in?
The voting results of the 1975 North Vietnamese legislative election with regards to seats were that the Vietnamese Fatherland Front won 424 seats.,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,15555.0,4913,What were the voting results of the 1975 North Vietnamese legislative election?; what percentage of the total seats did the Vietnamese Fatherland Front win?;what were the total number of votes for the Vietnamese Fatherland Front?
Christian Cooke played the roles of Luke Rutherford-Van Helsing and Lord Dorian Gaudain in 2009.,What roles did Christian Cooke play in 2009?,561.0,4893,What roles did Christian Cooke play in 2009?;What roles did Christian Cooke play?; In which year did Christian Cooke play those roles?
"The track ""Mission: Impossible Theme"" has the lowest BPM of 175, and the track with the highest BPM is 195 on the Speed SFX series.","Which track has the lowest bpm, and which has the highest on the Speed SFX series?",9835.0,4685, What is the highest BPM on the Speed SFX series?;What is the lowest BPM on the Speed SFX series?;What are the BPMs of the tracks in the Speed SFX series?
Kazunari Okayama started his career in 1997 at Club Division.,When and in which club and league did Kazunari Okayama start his career?,21418.0,6118, In which club and league did Kazunari Okayama start his career?;When did Kazunari Okayama start his career?;In which club and league did Kazunari Okayama start his career?
The German submarine U-438 caused a total of 12041 GRT (Gross Register Tonnage) overall damage.,How much overall damage did the German submarine U-438 cause?,8032.0,5008,What was the extent of the damage caused by the German submarine U-438?; What ships did the German submarine U-438 damage?;What ships did the German submarine U-438 sink?
Yu Da-Hyun (유다현),Who set the fastest average in Megaminx?,431.0,3523,What is the fastest average set by Juan Pablo Huanqui? Who set the fastest average in Megaminx?;Who holds the fastest average time in Megaminx?
Faye appeared for Hull City in the seasons 2012-13 and 2013-14.,What seasons did Faye appear for Hull City?,20853.0,6356,What seasons did Faye appear for RC Lens?; What seasons did Faye appear for Bolton Wanderers?;In which seasons did Faye play for Hull City?
"The reported isotopes are 253Rf, 254Rf, 255Rf, 256Rf, 257Rf, 257mRf, 258Rf, 259Rf, 259mRf, 260Rf, 261Rf, 261mRf, 262Rf, 263Rf, 263mRf, 265Rf, 266Rf, 267Rf, 268Rf, and 270Rf.",Which isotope has been reported?,767.0,5065,"What are the isotopes with reported half-lives, decay modes, and discovery years? Which isotopes have been reported?;Which isotope has been discovered?"
The winner of the championship is Walter Hagen and the second place goes to Jim Barnes.,Who's the winner of the championship and who is in the second place?,1812.0,4745,Who finished in second place in the championship?; Who had the second lowest score in the championship?;Who had the lowest score in the championship?
"In 2011, Yu won significant career achievements for the work ""Palace"" at various prestigious events, including the Grand Ceremony of Movie & TV New Forces, 16th Asian Television Awards, and Youku Film and Television Award.",What significant career achievement did Yu make in 2011?,15064.0,4387,What significant career achievement did Yu make in 2011?; What significant career achievements did Yu make in other years?
"Huang Yu-ting won gold in the Women's 300 m time trial, Women's 500 m sprint, and Women's 1000 m sprint events at the 2009 World Games.",How's Huang Yu-ting doing in the 2009 World Games?,1834.0,5240,What event did Huang Yu-ting participate in at the 2009 World Games?; What was Huang Yu-ting's performance in that event?;How did Huang Yu-ting perform in the 2009 World Games?
"Art Howe coached the Yale Bulldogs to a record of 7 wins, 2 losses, and 2 ties.","When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?",21624.0,5679,What was Art Howe's overall record as the coach of the Yale Bulldogs?; What was his overall record with the team?;When did Art Howe coach the Yale Bulldogs?
"Marisol Nichols appeared in the shows ""My Guys"", ""Due South"", and ""Beverly Hills, 90210"" during 1996.",What shows did Marisol Nichols appear in during 1996?,16730.0,5161, In which year did Marisol Nichols appear in those shows?;What shows did Marisol Nichols appear in?;What shows did Marisol Nichols appear in during 1996?
"The last two finishers in the Women's 800 metre freestyle, Lotte Friis from Denmark and Sarah Köhler from Germany, finished with times of 8:24.50 and 8:27.75, respectively.",How did the last two finishers perform in the Women's 800 metre freestyle?,10064.0,5498,what was the time for the last place finisher?; what was the time for the second to last place finisher?;How did the last two finishers perform in the Women's 800 metre freestyle?
The Unionist Candidate did not perform in the East Antrim election in the 1910's.,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,21159.0,5376,What was the total number of votes for the Unionist Candidate in the East Antrim election in the 1910's?; What percentage of the total votes did the Unionist Candidate receive in the East Antrim election in the 1910's?;How did the Unionist Candidate perform in the East Antrim election in the 1910's?
The athlete who finished 2nd at the 2014 Commonwealth Games achieved a time of 38.02 seconds.,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,12617.0,4267,Who finished 2nd at the 2014 Commonwealth games?; What time did they achieve?
"""I've Got a Feeling"" was released on May 23, 1998.","When was ""I've Got a Feeling"" released?",21070.0,4752,"What was the release date of ""I've Got a Feeling"" in the United States?;When was ""I've Got a Feeling"" released in the United States?; What was the release date of ""I've Got a Feeling"" in Australia?"
"Tom Felton's first two roles were Draco Malfoy in ""Harry Potter and the Philosopher's Stone"" (2001) and Simon Pryor in ""The Disappeared"" (2008).",What and when were Tom Felton's first two roles?,13839.0,4652,What were Tom Felton's first two roles?;what was Tom Felton's first role?; when was Tom Felton's second role?
I cannot answer the query based on the information provided.,How many votes did Labour beat the National British Party by?,20930.0,3648,What were the number of votes for Labour? What were the number of votes for the National British Party?;What was the margin of victory for the Labour Party over the National British Party in terms of votes?
"The results of the 1990 Colorado gubernatorial election were:
- The ""Majority"" party's candidate received 267,629 votes.
- The ""Turnout"" party's candidate received 1,011,272 votes.",What were the results of the 1990 Colorado gubernatorial election?,12516.0,3672,What were the votes for the Majority party in the 1990 Colorado gubernatorial election? What were the votes for the Turnout party in the 1990 Colorado gubernatorial election?;What were the results of the 1990 Colorado gubernatorial election?
"The player with the lowest individual score is Tetsuo Sakata, with a score of +3. His score was 15 points higher than the lowest score of -12.",Which player had the lowest individual score and by how much was it lower than any other player?,17544.0,5411,what was the individual score for each player?; which player had the lowest individual score and how much lower was it than the others?;What was the lowest individual score in the tournament?
"The end of Richard M. Simpson's service was on April 26, 1960, and his successor was Douglas H. Elliott (R).","In the 86th United States Congress, What date was the end of Richard M. Simpson's service, and who was his successor?",21045.0,5758, Who was his successor?;What was the end date of Richard M. Simpson's service in the 86th United States Congress?;When did Richard M. Simpson's service end in the 86th United States Congress and who succeeded him?
"Sandra Peabody played the role of ""The Sun"" in Tarot and ""Minnie"" in Annie Get Your Gun.","What roles did Sandra Peabody play in Tarot and Annie Get Your Gun, respectively?",10083.0,3211,What roles did Sandra Peabody play in the theater productions?;What role did Sandra Peabody play in Tarot? What role did Sandra Peabody play in Annie Get Your Gun?
"The Texas' 21st congressional district election was not close, as the percentage difference in votes between the Majority and Turnout parties was 0%.",How close was Texas' 21st congressional district election?,1789.0,5048, what was the percentage difference in votes between the two parties in Texas' 21st congressional district election?;what were the total votes for each party in Texas' 21st congressional district election?;How close was the election in Texas' 21st congressional district?
"Emily Bett Rickards received solo nominations for the Teen Choice Awards, other than the Leo Awards.",What are all the non-Leo awards for which Rickards received a solo nomination?,17067.0,5997," What are all the non-Leo awards?;What are all the awards for which Rickards received a solo nomination?;What awards did Rickards receive solo nominations for, other than the Leo Awards?"
"The films Aaron Taylor-Johnson appeared in in 2017 and 2018 are ""The Wall"", ""Outlaw King"", and ""A Million Little Pieces"".",What films did Aaron Taylor-Johnson appear in in 2017 and 2018?,11595.0,5130,What films did Aaron Taylor-Johnson appear in in 2017?;In which films did Aaron Taylor-Johnson appear in 2017 and 2018?; What films did Aaron Taylor-Johnson appear in in 2018?
Aksoy won the awards for Best Actress for Love in Another Language.,What awards did Aksoy win for Love in Another Language?,10549.0,4913, For which work did Aksoy win the awards?;What awards did Aksoy win?;What awards did Aksoy win for her work in films?
Choi won 2 Best Actress Awards in 1994 from the 16th Three Continents Festival.,How many Best Actress Awards did Choi win in 1994 and where were they from?,2034.0,5533, What were the categories and where were they from?;How many Best Actress Awards did Choi win and in which years?;How many awards did Choi win in 1994?
